modComp,t,cum_sales
927,22,40788
927,23,0
927,24,0
927,25,0
927,26,0
927,27,0
927,28,0
927,29,0
927,30,0
927,31,0
927,32,0
927,33,0
927,34,0
927,35,0
927,36,0
927,37,0
327,0,0
327,1,0
327,2,0
327,3,0
327,4,0
327,5,0
327,6,0
327,7,0
327,8,0
327,9,0
327,10,0
327,11,0
327,12,0
327,13,0
327,14,0
327,15,0
327,16,0
327,17,0
327,18,0
327,19,0
327,20,0
327,21,15696
327,22,15696
327,23,15696
327,24,15696
327,25,15696
327,26,15696
327,27,15696
327,28,15696
327,29,15696
327,30,15696
327,31,15696
327,32,15696
327,33,0
327,34,0
327,35,0
327,36,0
327,37,0
627,0,0
627,1,0
627,2,0
627,3,0
627,4,0
627,5,0
627,6,0
627,7,0
627,8,0
627,9,0
627,10,0
627,11,0
627,12,0
627,13,0
627,14,0
627,15,0
627,16,0
627,17,0
627,18,0
627,19,0
627,20,0
627,21,0
627,22,0
627,23,0
627,24,0
627,25,0
627,26,0
627,27,0
627,28,0
627,29,10032
627,30,10032
627,31,10032
627,32,10032
627,33,10032
627,34,10032
627,35,10032
627,36,10032
627,37,10032
221,0,0
221,1,0
221,2,0
221,3,0
221,4,0
221,5,0
221,6,0
221,7,0
221,8,0
221,9,0
221,10,0
221,11,0
221,12,0
221,13,0
221,14,0
221,15,0
221,16,0
221,17,0
221,18,0
221,19,0
221,20,0
221,21,0
221,22,0
221,23,0
221,24,0
221,25,6630
221,26,6630
221,27,6630
221,28,6630
221,29,6630
221,30,6630
221,31,6630
221,32,6630
221,33,6630
221,34,6630
221,35,6630
221,36,6630
221,37,0
421,0,23997
421,1,23997
421,2,23997
421,3,23997
421,4,23997
421,5,23997
421,6,23997
421,7,23997
421,8,23997
421,9,23997
421,10,23997
421,11,23997
421,12,23997
421,13,23997
421,14,23997
421,15,23997
421,16,23997
421,17,0
421,18,0
421,19,0
421,20,0
421,21,0
421,22,0
421,23,0
421,24,0
421,25,0
421,26,0
421,27,0
421,28,0
421,29,0
421,30,0
421,31,0
421,32,0
421,33,0
421,34,0
421,35,0
421,36,0
421,37,0
21,0,0
21,1,0
21,2,0
21,3,0
21,4,0
21,5,0
21,6,0
21,7,0
21,8,0
21,9,0
21,10,0
21,11,0
21,12,0
21,13,1197
21,14,1197
21,15,1197
21,16,1197
21,17,1197
21,18,1197
21,19,1197
21,20,1197
21,21,1197
21,22,1197
21,23,1197
21,24,1197
21,25,1827
21,26,1827
21,27,1827
21,28,630
21,29,630
21,30,630
21,31,630
21,32,630
21,33,630
21,34,630
21,35,630
21,36,630
21,37,0
821,0,0
821,1,0
821,2,0
821,3,0
821,4,0
821,5,0
821,6,0
821,7,0
821,8,55007
821,9,55007
821,10,55007
821,11,55007
821,12,55007
821,13,55007
821,14,55007
821,15,55007
821,16,55007
821,17,55007
821,18,55007
821,19,55007
821,20,55007
821,21,55007
821,22,55007
821,23,55007
821,24,0
821,25,0
821,26,0
821,27,0
821,28,0
821,29,0
821,30,0
821,31,0
821,32,0
821,33,0
821,34,0
821,35,0
821,36,0
821,37,0
721,0,0
721,1,0
721,2,0
721,3,0
721,4,0
721,5,0
721,6,0
721,7,0
721,8,33887
721,9,33887
721,10,33887
721,11,33887
721,12,33887
721,13,33887
721,14,33887
721,15,33887
721,16,0
721,17,33887
721,18,33887
721,19,33887
721,20,33887
721,21,33887
721,22,33887
721,23,33887
721,24,33887
721,25,33887
721,26,33887
721,27,0
721,28,0
721,29,0
721,30,0
721,31,0
721,32,0
721,33,0
721,34,0
721,35,0
721,36,0
721,37,0
921,0,0
921,1,0
921,2,0
921,3,0
921,4,0
921,5,0
921,6,40524
921,7,40524
921,8,40524
921,9,40524
921,10,40524
921,11,40524
921,12,40524
921,13,40524
921,14,40524
921,15,40524
921,16,40524
921,17,40524
921,18,40524
921,19,40524
921,20,40524
921,21,40524
921,22,40524
921,23,0
921,24,0
921,25,0
921,26,0
921,27,0
921,28,0
921,29,0
921,30,0
921,31,0
921,32,0
921,33,0
921,34,0
921,35,0
921,36,0
921,37,0
321,0,0
321,1,0
321,2,0
321,3,0
321,4,0
321,5,0
321,6,0
321,7,0
321,8,0
321,9,0
321,10,0
321,11,0
321,12,0
321,13,0
321,14,0
321,15,0
321,16,0
321,17,0
321,18,0
321,19,0
321,20,0
321,21,15408
321,22,15408
321,23,15408
321,24,15408
321,25,15408
321,26,15408
321,27,15408
321,28,15408
321,29,15408
321,30,15408
321,31,15408
321,32,15408
321,33,0
321,34,0
321,35,0
321,36,0
321,37,0
86,0,0
86,1,0
86,2,0
86,3,0
86,4,0
86,5,0
86,6,0
86,7,0
86,8,5762
86,9,5762
86,10,5762
86,11,5762
86,12,5762
86,13,5762
86,14,5762
86,15,5762
86,16,5762
86,17,5762
86,18,5762
86,19,5762
86,20,5762
86,21,5762
86,22,5762
86,23,5762
86,24,0
86,25,0
86,26,0
86,27,0
86,28,0
86,29,0
86,30,0
86,31,0
86,32,0
86,33,0
86,34,0
86,35,0
86,36,0
86,37,0
26,0,0
26,1,0
26,2,0
26,3,0
26,4,0
26,5,0
26,6,0
26,7,0
26,8,0
26,9,0
26,10,0
26,11,0
26,12,0
26,13,1482
26,14,1482
26,15,1482
26,16,1482
26,17,1482
26,18,1482
26,19,1482
26,20,1482
26,21,1482
26,22,1482
26,23,1482
26,24,1482
26,25,2262
26,26,2262
26,27,2262
26,28,780
26,29,780
26,30,780
26,31,780
26,32,780
26,33,780
26,34,780
26,35,780
26,36,780
26,37,0
46,0,2622
46,1,2622
46,2,2622
46,3,2622
46,4,2622
46,5,2622
46,6,2622
46,7,2622
46,8,2622
46,9,2622
46,10,2622
46,11,2622
46,12,2622
46,13,2622
46,14,2622
46,15,2622
46,16,2622
46,17,0
46,18,0
46,19,0
46,20,0
46,21,0
46,22,0
46,23,0
46,24,0
46,25,0
46,26,0
46,27,0
46,28,0
46,29,0
46,30,0
46,31,0
46,32,0
46,33,0
46,34,0
46,35,0
46,36,0
46,37,0
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,342
6,14,342
6,15,342
6,16,342
6,17,342
6,18,342
6,19,342
6,20,342
6,21,342
6,22,342
6,23,342
6,24,342
6,25,342
6,26,342
6,27,342
6,28,0
6,29,0
6,30,0
6,31,0
6,32,0
6,33,0
6,34,0
6,35,0
6,36,0
6,37,0
56,0,0
56,1,0
56,2,0
56,3,0
56,4,0
56,5,0
56,6,0
56,7,0
56,8,3080
56,9,3080
56,10,3080
56,11,3080
56,12,3080
56,13,3080
56,14,3080
56,15,3080
56,16,3080
56,17,3080
56,18,3080
56,19,3080
56,20,3080
56,21,3080
56,22,3080
56,23,3080
56,24,3080
56,25,3080
56,26,3080
56,27,0
56,28,0
56,29,0
56,30,0
56,31,0
56,32,0
56,33,0
56,34,0
56,35,0
56,36,0
56,37,0
76,0,0
76,1,0
76,2,0
76,3,0
76,4,0
76,5,0
76,6,0
76,7,0
76,8,3572
76,9,3572
76,10,3572
76,11,3572
76,12,3572
76,13,3572
76,14,3572
76,15,3572
76,16,0
76,17,3572
76,18,3572
76,19,3572
76,20,3572
76,21,3572
76,22,3572
76,23,3572
76,24,3572
76,25,3572
76,26,3572
76,27,0
76,28,0
76,29,0
76,30,0
76,31,0
76,32,0
76,33,0
76,34,0
76,35,0
76,36,0
76,37,0
96,0,0
96,1,0
96,2,0
96,3,0
96,4,0
96,5,0
96,6,4224
96,7,4224
96,8,4224
96,9,4224
96,10,4224
96,11,4224
96,12,4224
96,13,4224
96,14,4224
96,15,4224
96,16,4224
96,17,4224
96,18,4224
96,19,4224
96,20,4224
96,21,4224
96,22,4224
96,23,0
96,24,0
96,25,0
96,26,0
96,27,0
96,28,0
96,29,0
96,30,0
96,31,0
96,32,0
96,33,0
96,34,0
96,35,0
96,36,0
96,37,0
36,0,0
36,1,0
36,2,0
36,3,0
36,4,0
36,5,0
36,6,0
36,7,0
36,8,0
36,9,0
36,10,0
36,11,0
36,12,0
36,13,0
36,14,0
36,15,0
36,16,0
36,17,0
36,18,0
36,19,0
36,20,0
36,21,1728
36,22,1728
36,23,1728
36,24,1728
36,25,1728
36,26,1728
36,27,1728
36,28,1728
36,29,1728
36,30,1728
36,31,1728
36,32,1728
36,33,0
36,34,0
36,35,0
36,36,0
36,37,0
66,0,0
66,1,0
66,2,0
66,3,0
66,4,0
66,5,0
66,6,0
66,7,0
66,8,0
66,9,0
66,10,0
66,11,0
66,12,0
66,13,0
66,14,0
66,15,0
66,16,0
66,17,0
66,18,0
66,19,0
66,20,0
66,21,0
66,22,0
66,23,0
66,24,0
66,25,0
66,26,0
66,27,0
66,28,0
66,29,1056
66,30,1056
66,31,1056
66,32,1056
66,33,1056
66,34,1056
66,35,1056
66,36,1056
66,37,1056
223,0,0
223,1,0
223,2,0
223,3,0
223,4,0
223,5,0
223,6,0
223,7,0
223,8,0
223,9,0
223,10,0
223,11,0
223,12,0
223,13,0
223,14,0
223,15,0
223,16,0
223,17,0
223,18,0
223,19,0
223,20,0
223,21,0
223,22,0
223,23,0
223,24,0
223,25,6690
223,26,6690
223,27,6690
223,28,6690
223,29,6690
223,30,6690
223,31,6690
223,32,6690
223,33,6690
223,34,6690
223,35,6690
223,36,6690
223,37,0
423,0,24111
423,1,24111
423,2,24111
423,3,24111
423,4,24111
423,5,24111
423,6,24111
423,7,24111
423,8,24111
423,9,24111
423,10,24111
423,11,24111
423,12,24111
423,13,24111
423,14,24111
423,15,24111
423,16,24111
423,17,0
423,18,0
423,19,0
423,20,0
423,21,0
423,22,0
423,23,0
423,24,0
423,25,0
423,26,0
423,27,0
423,28,0
423,29,0
423,30,0
423,31,0
423,32,0
423,33,0
423,34,0
423,35,0
423,36,0
423,37,0
23,0,0
23,1,0
23,2,0
23,3,0
23,4,0
23,5,0
23,6,0
23,7,0
23,8,0
23,9,0
23,10,0
23,11,0
23,12,0
23,13,1311
23,14,1311
23,15,1311
23,16,1311
23,17,1311
23,18,1311
23,19,1311
23,20,1311
23,21,1311
23,22,1311
23,23,1311
23,24,1311
23,25,2001
23,26,2001
23,27,2001
23,28,690
23,29,690
23,30,690
23,31,690
23,32,690
23,33,690
23,34,690
23,35,690
23,36,690
23,37,0
823,0,0
823,1,0
823,2,0
823,3,0
823,4,0
823,5,0
823,6,0
823,7,0
823,8,55141
823,9,55141
823,10,55141
823,11,55141
823,12,55141
823,13,55141
823,14,55141
823,15,55141
823,16,55141
823,17,55141
823,18,55141
823,19,55141
823,20,55141
823,21,55141
823,22,55141
823,23,55141
823,24,0
823,25,0
823,26,0
823,27,0
823,28,0
823,29,0
823,30,0
823,31,0
823,32,0
823,33,0
823,34,0
823,35,0
823,36,0
823,37,0
523,0,0
523,1,0
523,2,0
523,3,0
523,4,0
523,5,0
523,6,0
523,7,0
523,8,28765
523,9,28765
523,10,28765
523,11,28765
523,12,28765
523,13,28765
523,14,28765
523,15,28765
523,16,28765
523,17,28765
523,18,28765
523,19,28765
523,20,28765
523,21,28765
523,22,28765
523,23,28765
523,24,28765
523,25,28765
523,26,28765
523,27,0
523,28,0
523,29,0
523,30,0
523,31,0
523,32,0
523,33,0
523,34,0
523,35,0
523,36,0
523,37,0
723,0,0
723,1,0
723,2,0
723,3,0
723,4,0
723,5,0
723,6,0
723,7,0
723,8,33981
723,9,33981
723,10,33981
723,11,33981
723,12,33981
723,13,33981
723,14,33981
723,15,33981
723,16,0
723,17,33981
723,18,33981
723,19,33981
723,20,33981
723,21,33981
723,22,33981
723,23,33981
723,24,33981
723,25,33981
723,26,33981
723,27,0
723,28,0
723,29,0
723,30,0
723,31,0
723,32,0
723,33,0
723,34,0
723,35,0
723,36,0
723,37,0
923,0,0
923,1,0
923,2,0
923,3,0
923,4,0
923,5,0
923,6,40612
923,7,40612
923,8,40612
923,9,40612
923,10,40612
923,11,40612
923,12,40612
923,13,40612
923,14,40612
923,15,40612
923,16,40612
923,17,40612
923,18,40612
923,19,40612
923,20,40612
923,21,40612
923,22,40612
923,23,0
923,24,0
923,25,0
923,26,0
923,27,0
923,28,0
923,29,0
923,30,0
923,31,0
923,32,0
923,33,0
923,34,0
923,35,0
923,36,0
923,37,0
623,0,0
623,1,0
623,2,0
623,3,0
623,4,0
623,5,0
623,6,0
623,7,0
623,8,0
623,9,0
623,10,0
623,11,0
623,12,0
623,13,0
623,14,0
623,15,0
623,16,0
623,17,0
623,18,0
623,19,0
623,20,0
623,21,0
623,22,0
623,23,0
623,24,0
623,25,0
623,26,0
623,27,0
623,28,0
623,29,9968
623,30,9968
623,31,9968
623,32,9968
623,33,9968
623,34,9968
623,35,9968
623,36,9968
623,37,9968
431,0,24567
431,1,24567
431,2,24567
431,3,24567
431,4,24567
431,5,24567
431,6,24567
431,7,24567
431,8,24567
431,9,24567
431,10,24567
431,11,24567
431,12,24567
431,13,24567
431,14,24567
431,15,24567
431,16,24567
431,17,0
431,18,0
431,19,0
431,20,0
431,21,0
431,22,0
431,23,0
431,24,0
431,25,0
431,26,0
431,27,0
431,28,0
431,29,0
431,30,0
431,31,0
431,32,0
431,33,0
431,34,0
431,35,0
431,36,0
431,37,0
31,0,0
31,1,0
31,2,0
31,3,0
31,4,0
31,5,0
31,6,0
31,7,0
31,8,0
31,9,0
31,10,0
31,11,0
31,12,0
31,13,1767
31,14,1767
31,15,1767
31,16,1767
31,17,1767
31,18,1767
31,19,1767
31,20,1767
31,21,3255
31,22,3255
31,23,3255
31,24,3255
31,25,3255
31,26,3255
31,27,3255
31,28,1488
31,29,1488
31,30,1488
31,31,1488
31,32,1488
31,33,0
31,34,0
31,35,0
31,36,0
31,37,0
831,0,0
831,1,0
831,2,0
831,3,0
831,4,0
831,5,0
831,6,0
831,7,0
831,8,55677
831,9,55677
831,10,55677
831,11,55677
831,12,55677
831,13,55677
831,14,55677
831,15,55677
831,16,55677
831,17,55677
831,18,55677
831,19,55677
831,20,55677
831,21,55677
831,22,55677
831,23,55677
831,24,0
831,25,0
831,26,0
831,27,0
831,28,0
831,29,0
831,30,0
831,31,0
831,32,0
831,33,0
831,34,0
831,35,0
831,36,0
831,37,0
531,0,0
531,1,0
531,2,0
531,3,0
531,4,0
531,5,0
531,6,0
531,7,0
531,8,29205
531,9,29205
531,10,29205
531,11,29205
531,12,29205
531,13,29205
531,14,29205
531,15,29205
531,16,29205
531,17,29205
531,18,29205
531,19,29205
531,20,29205
531,21,29205
531,22,29205
531,23,29205
531,24,29205
531,25,29205
531,26,29205
531,27,0
531,28,0
531,29,0
531,30,0
531,31,0
531,32,0
531,33,0
531,34,0
531,35,0
531,36,0
531,37,0
731,0,0
731,1,0
731,2,0
731,3,0
731,4,0
731,5,0
731,6,0
731,7,0
731,8,34357
731,9,34357
731,10,34357
731,11,34357
731,12,34357
731,13,34357
731,14,34357
731,15,34357
731,16,0
731,17,34357
731,18,34357
731,19,34357
731,20,34357
731,21,34357
731,22,34357
731,23,34357
731,24,34357
731,25,34357
731,26,34357
731,27,0
731,28,0
731,29,0
731,30,0
731,31,0
731,32,0
731,33,0
731,34,0
731,35,0
731,36,0
731,37,0
131,0,0
131,1,0
131,2,0
131,3,0
131,4,0
131,5,0
131,6,0
131,7,0
131,8,0
131,9,0
131,10,0
131,11,0
131,12,0
131,13,5895
131,14,5895
131,15,5895
131,16,5895
131,17,5895
131,18,5895
131,19,5895
131,20,5895
131,21,5895
131,22,5895
131,23,5895
131,24,5895
131,25,5895
131,26,0
131,27,0
131,28,0
131,29,0
131,30,0
131,31,0
131,32,0
131,33,0
131,34,0
131,35,0
131,36,0
131,37,0
931,0,0
931,1,0
931,2,0
931,3,0
931,4,0
931,5,0
931,6,40964
931,7,40964
931,8,40964
931,9,40964
931,10,40964
931,11,40964
931,12,40964
931,13,40964
931,14,40964
931,15,40964
931,16,40964
931,17,40964
931,18,40964
931,19,40964
931,20,40964
931,21,40964
931,22,40964
931,23,0
931,24,0
931,25,0
931,26,0
931,27,0
931,28,0
931,29,0
931,30,0
931,31,0
931,32,0
931,33,0
931,34,0
931,35,0
931,36,0
931,37,0
331,0,0
331,1,0
331,2,0
331,3,0
331,4,0
331,5,0
331,6,0
331,7,0
331,8,0
331,9,0
331,10,0
331,11,0
331,12,0
331,13,0
331,14,0
331,15,0
331,16,0
331,17,0
331,18,0
331,19,0
331,20,0
331,21,15888
331,22,15888
331,23,15888
331,24,15888
331,25,15888
331,26,15888
331,27,15888
331,28,15888
331,29,15888
331,30,15888
331,31,15888
331,32,15888
331,33,0
331,34,0
331,35,0
331,36,0
331,37,0
9,0,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
9,10,0
9,11,0
9,12,0
9,13,513
9,14,513
9,15,513
9,16,513
9,17,513
9,18,513
9,19,513
9,20,513
9,21,513
9,22,513
9,23,513
9,24,513
9,25,513
9,26,513
9,27,513
9,28,0
9,29,0
9,30,0
9,31,0
9,32,0
9,33,0
9,34,0
9,35,0
9,36,0
9,37,0
89,0,0
89,1,0
89,2,0
89,3,0
89,4,0
89,5,0
89,6,0
89,7,0
89,8,5963
89,9,5963
89,10,5963
89,11,5963
89,12,5963
89,13,5963
89,14,5963
89,15,5963
89,16,5963
89,17,5963
89,18,5963
89,19,5963
89,20,5963
89,21,5963
89,22,5963
89,23,5963
89,24,0
89,25,0
89,26,0
89,27,0
89,28,0
89,29,0
89,30,0
89,31,0
89,32,0
89,33,0
89,34,0
89,35,0
89,36,0
89,37,0
59,0,0
59,1,0
59,2,0
59,3,0
59,4,0
59,5,0
59,6,0
59,7,0
59,8,3245
59,9,3245
59,10,3245
59,11,3245
59,12,3245
59,13,3245
59,14,3245
59,15,3245
59,16,3245
59,17,3245
59,18,3245
59,19,3245
59,20,3245
59,21,3245
59,22,3245
59,23,3245
59,24,3245
59,25,3245
59,26,3245
59,27,0
59,28,0
59,29,0
59,30,0
59,31,0
59,32,0
59,33,0
59,34,0
59,35,0
59,36,0
59,37,0
19,0,0
19,1,0
19,2,0
19,3,0
19,4,0
19,5,0
19,6,0
19,7,0
19,8,0
19,9,0
19,10,0
19,11,0
19,12,0
19,13,1938
19,14,1938
19,15,1938
19,16,1938
19,17,1938
19,18,1938
19,19,1938
19,20,1938
19,21,1938
19,22,1938
19,23,1938
19,24,1938
19,25,1938
19,26,1083
19,27,1083
19,28,0
19,29,0
19,30,0
19,31,0
19,32,0
19,33,0
19,34,0
19,35,0
19,36,0
19,37,0
99,0,0
99,1,0
99,2,0
99,3,0
99,4,0
99,5,0
99,6,4356
99,7,4356
99,8,4356
99,9,4356
99,10,4356
99,11,4356
99,12,4356
99,13,4356
99,14,4356
99,15,4356
99,16,4356
99,17,4356
99,18,4356
99,19,4356
99,20,4356
99,21,4356
99,22,4356
99,23,0
99,24,0
99,25,0
99,26,0
99,27,0
99,28,0
99,29,0
99,30,0
99,31,0
99,32,0
99,33,0
99,34,0
99,35,0
99,36,0
99,37,0
39,0,0
39,1,0
39,2,0
39,3,0
39,4,0
39,5,0
39,6,0
39,7,0
39,8,0
39,9,0
39,10,0
39,11,0
39,12,0
39,13,0
39,14,0
39,15,0
39,16,0
39,17,0
39,18,0
39,19,0
39,20,0
39,21,1872
39,22,1872
39,23,1872
39,24,1872
39,25,1872
39,26,1872
39,27,1872
39,28,1872
39,29,1872
39,30,1872
39,31,1872
39,32,1872
39,33,0
39,34,0
39,35,0
39,36,0
39,37,0
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
10,11,0
10,12,0
10,13,570
10,14,570
10,15,570
10,16,570
10,17,570
10,18,570
10,19,570
10,20,570
10,21,570
10,22,570
10,23,570
10,24,570
10,25,570
10,26,570
10,27,570
10,28,0
10,29,0
10,30,0
10,31,0
10,32,0
10,33,0
10,34,0
10,35,0
10,36,0
10,37,0
510,0,0
510,1,0
510,2,0
510,3,0
510,4,0
510,5,0
510,6,0
510,7,0
510,8,28050
510,9,28050
510,10,28050
510,11,28050
510,12,28050
510,13,28050
510,14,28050
510,15,28050
510,16,28050
510,17,28050
510,18,28050
510,19,28050
510,20,28050
510,21,28050
510,22,28050
510,23,28050
510,24,28050
510,25,28050
510,26,28050
510,27,0
510,28,0
510,29,0
510,30,0
510,31,0
510,32,0
510,33,0
510,34,0
510,35,0
510,36,0
510,37,0
710,0,0
710,1,0
710,2,0
710,3,0
710,4,0
710,5,0
710,6,0
710,7,0
710,8,33370
710,9,33370
710,10,33370
710,11,33370
710,12,33370
710,13,33370
710,14,33370
710,15,33370
710,16,0
710,17,33370
710,18,33370
710,19,33370
710,20,33370
710,21,33370
710,22,33370
710,23,33370
710,24,33370
710,25,33370
710,26,33370
710,27,0
710,28,0
710,29,0
710,30,0
710,31,0
710,32,0
710,33,0
710,34,0
710,35,0
710,36,0
710,37,0
110,0,0
110,1,0
110,2,0
110,3,0
110,4,0
110,5,0
110,6,0
110,7,0
110,8,0
110,9,0
110,10,0
110,11,0
110,12,0
110,13,4950
110,14,4950
110,15,4950
110,16,4950
110,17,4950
110,18,4950
110,19,4950
110,20,4950
110,21,4950
110,22,4950
110,23,4950
110,24,4950
110,25,4950
110,26,0
110,27,0
110,28,0
110,29,0
110,30,0
110,31,0
110,32,0
110,33,0
110,34,0
110,35,0
110,36,0
110,37,0
910,0,0
910,1,0
910,2,0
910,3,0
910,4,0
910,5,0
910,6,40040
910,7,40040
910,8,40040
910,9,40040
910,10,40040
910,11,40040
910,12,40040
910,13,40040
910,14,40040
910,15,40040
910,16,40040
910,17,40040
910,18,40040
910,19,40040
910,20,40040
910,21,40040
910,22,40040
910,23,0
910,24,0
910,25,0
910,26,0
910,27,0
910,28,0
910,29,0
910,30,0
910,31,0
910,32,0
910,33,0
910,34,0
910,35,0
910,36,0
910,37,0
310,0,0
310,1,0
310,2,0
310,3,0
310,4,0
310,5,0
310,6,0
310,7,0
310,8,0
310,9,0
310,10,0
310,11,0
310,12,0
310,13,0
310,14,0
310,15,0
310,16,0
310,17,0
310,18,0
310,19,0
310,20,0
310,21,14880
310,22,14880
310,23,14880
310,24,14880
310,25,14880
310,26,14880
310,27,14880
310,28,14880
310,29,14880
310,30,14880
310,31,14880
310,32,14880
310,33,0
310,34,0
310,35,0
310,36,0
310,37,0
429,0,24453
429,1,24453
429,2,24453
429,3,24453
429,4,24453
429,5,24453
429,6,24453
429,7,24453
429,8,24453
429,9,24453
429,10,24453
429,11,24453
429,12,24453
429,13,24453
429,14,24453
429,15,24453
429,16,24453
429,17,0
429,18,0
429,19,0
429,20,0
429,21,0
429,22,0
429,23,0
429,24,0
429,25,0
429,26,0
429,27,0
429,28,0
429,29,0
429,30,0
429,31,0
429,32,0
429,33,0
429,34,0
429,35,0
429,36,0
429,37,0
29,0,0
29,1,0
29,2,0
29,3,0
29,4,0
29,5,0
29,6,0
29,7,0
29,8,0
29,9,0
29,10,0
29,11,0
29,12,0
29,13,1653
29,14,1653
29,15,1653
29,16,1653
29,17,1653
29,18,1653
29,19,1653
29,20,1653
29,21,1653
29,22,1653
29,23,1653
29,24,1653
29,25,2523
29,26,2523
29,27,2523
29,28,870
29,29,870
29,30,870
29,31,870
29,32,870
29,33,870
29,34,870
29,35,870
29,36,870
29,37,0
829,0,0
829,1,0
829,2,0
829,3,0
829,4,0
829,5,0
829,6,0
829,7,0
829,8,55543
829,9,55543
829,10,55543
829,11,55543
829,12,55543
829,13,55543
829,14,55543
829,15,55543
829,16,55543
829,17,55543
829,18,55543
829,19,55543
829,20,55543
829,21,55543
829,22,55543
829,23,55543
829,24,0
829,25,0
829,26,0
829,27,0
829,28,0
829,29,0
829,30,0
829,31,0
829,32,0
829,33,0
829,34,0
829,35,0
829,36,0
829,37,0
529,0,0
529,1,0
529,2,0
529,3,0
529,4,0
529,5,0
529,6,0
529,7,0
529,8,29095
529,9,29095
529,10,29095
529,11,29095
529,12,29095
529,13,29095
529,14,29095
529,15,29095
529,16,29095
529,17,29095
529,18,29095
529,19,29095
529,20,29095
529,21,29095
529,22,29095
529,23,29095
529,24,29095
529,25,29095
529,26,29095
529,27,0
529,28,0
529,29,0
529,30,0
529,31,0
529,32,0
529,33,0
529,34,0
529,35,0
529,36,0
529,37,0
729,0,0
729,1,0
729,2,0
729,3,0
729,4,0
729,5,0
729,6,0
729,7,0
729,8,34263
729,9,34263
729,10,34263
729,11,34263
729,12,34263
729,13,34263
729,14,34263
729,15,34263
729,16,0
729,17,34263
729,18,34263
729,19,34263
